,name,id,state_id,longitude,latitude
0,ACRELANDIA,1200013,12,-67.0523165800206,-10.0737938924635
1,ASSIS BRASIL,1200054,12,-69.5634591746677,-10.9428656809172
2,BRASILEIA,1200104,12,-68.7479434259584,-11.0164110190858
3,BUJARI,1200138,12,-67.9518592792015,-9.82001962670938
4,CAPIXABA,1200179,12,-67.6735079719432,-10.5697677087928
5,CRUZEIRO DO SUL,1200203,12,-72.6725313174358,-7.63069000500981
6,EPITACIOLANDIA,1200252,12,-68.7448680666749,-11.0282398279564
7,FEIJO,1200302,12,-70.3539836082165,-8.16024753
8,JORDAO,1200328,12,-71.9508751248365,-9.19335785982848
9,MANCIO LIMA,1200336,12,-72.9165010261308,-7.59322259385836
10,MANOEL URBANO,1200344,12,-69.2599445775075,-8.83631773689166
11,MARECHAL THAUMATURGO,1200351,12,-72.7902659086983,-8.95359112315366
12,PLACIDO DE CASTRO,1200385,12,-67.1882600861516,-10.3351332827427
13,PORTO ACRE,1200807,12,-67.5405900835194,-9.60085823118788
14,PORTO WALTER,1200393,12,-72.7423339648033,-8.26666636282753
15,RIO BRANCO,1200401,12,-67.8105287004235,-9.97829875272498
16,RODRIGUES ALVES,1200427,12,-72.6478549141997,-7.73360203372322
17,SANTA ROSA DO PURUS,1200435,12,-70.4864968937616,-9.44340653741185
18,SENA MADUREIRA,1200500,12,-68.655684061692,-9.065339505
19,SENADOR GUIOMARD,1200450,12,-67.7431723600051,-10.1481735861989
20,TARAUACA,1200609,12,-70.7555010628937,-8.15566859176562
21,XAPURI,1200708,12,-68.5062948050463,-10.6520719403355
22,AGUA BRANCA,2700102,27,-37.940715175965,-9.26702549705051
23,ANADIA,2700201,27,-36.3008135714461,-9.68408378505047
24,ARAPIRACA,2700300,27,-36.6572965062872,-9.7559070107047
25,ATALAIA,2700409,27,-36.0214273162625,-9.50138674650017
26,BARRA DE SANTO ANTONIO,2700508,27,-35.5002980957816,-9.40927810936494
27,BARRA DE SAO MIGUEL,2700607,27,-35.9074498726289,-9.83899825174925
28,BATALHA,2700706,27,-37.1270918944836,-9.67459302797037
29,BELEM,2700805,27,-36.4944979894058,-9.56864823133606
30,BELO MONTE,2700904,27,-37.2784386581653,-9.82698885476657
31,BOCA DA MATA,2701001,27,-36.2117249001431,-9.64514456727259
32,BRANQUINHA,2701100,27,-36.0200335331731,-9.24658310830329
33,CACIMBINHAS,2701209,27,-36.9968696260236,-9.40516275105815
34,CAJUEIRO,2701308,27,-36.1563785914086,-9.38966057508941
35,CAMPESTRE,2701357,27,-35.5667177264544,-8.84837535315291
36,CAMPO ALEGRE,2701407,27,-36.352434752197,-9.78341603898408
37,CAMPO GRANDE,2701506,27,-36.7908400521347,-9.95692260332019
38,CANAPI,2701605,27,-37.6056471506351,-9.11738029758643
39,CAPELA,2701704,27,-36.0750084923936,-9.4129315555221
40,CARNEIROS,2701803,27,-37.3747504206165,-9.48067972087814
41,CHA PRETA,2701902,27,-36.2993814518778,-9.26142245940566
42,COITE DO NOIA,2702009,27,-36.5796842002285,-9.63848727077993
43,COLONIA LEOPOLDINA,2702108,27,-35.7197808593936,-8.91268826995015
44,COQUEIRO SECO,2702207,27,-35.795363001733,-9.63755427096993
45,CORURIPE,2702306,27,-36.1760783105118,-10.1265472503749
46,CRAIBAS,2702355,27,-36.7723914019128,-9.61993379738632
47,DELMIRO GOUVEIA,2702405,27,-37.9992334861769,-9.38457444694075
48,DOIS RIACHOS,2702504,27,-37.0898496479493,-9.38567081154627
49,ESTRELA DE ALAGOAS,2702553,27,-36.7583331109668,-9.38740530657934
50,FEIRA GRANDE,2702603,27,-36.6776855005338,-9.90043719889157
51,FELIZ DESERTO,2702702,27,-36.3071875176995,-10.2923806198663
52,FLEXEIRAS,2702801,27,-35.7243716385672,-9.27323546004541
53,GIRAU DO PONCIANO,2702900,27,-36.8303139029901,-9.8873641521582
54,IBATEGUARA,2703007,27,-35.9311844564205,-8.97698521760536
55,IGACI,2703106,27,-36.62815971645,-9.53368865946465
56,IGREJA NOVA,2703205,27,-36.653345012518,-10.1292988371728
57,INHAPI,2703304,27,-37.7526365210459,-9.22389877333184
58,JACARE DOS HOMENS,2703403,27,-37.2078334090177,-9.63665882831559
59,JACUIPE,2703502,27,-35.4609975081236,-8.84030050756405
60,JAPARATINGA,2703601,27,-35.2586583540313,-9.08897435434458
61,JARAMATAIA,2703700,27,-37.0035959132308,-9.65835193876392
62,JEQUIA DA PRAIA,2703759,27,-36.0273340429838,-10.0095918935695
63,JOAQUIM GOMES,2703809,27,-35.749030258912,-9.13597914629409
64,JUNDIA,2703908,27,-35.5555972975355,-8.93887675416228
65,JUNQUEIRO,2704005,27,-36.4715218222232,-9.93161038974245
66,LAGOA DA CANOA,2704104,27,-36.7357892600018,-9.83087565650446
67,LIMOEIRO DE ANADIA,2704203,27,-36.5038970865,-9.73861316781449
68,MACEIO,2704302,27,-35.7016299134895,-9.66082215163114
69,MAJOR ISIDORO,2704401,27,-36.9847996142241,-9.52664406793994
70,MAR VERMELHO,2704906,27,-36.3850400240272,-9.44777264348944
71,MARAGOGI,2704500,27,-35.2230154091319,-9.0154564858241
72,MARAVILHA,2704609,27,-37.3566354220481,-9.23399706335314
73,MARECHAL DEODORO,2704708,27,-35.8930686988453,-9.73915570244381
74,MARIBONDO,2704807,27,-36.3066028985381,-9.57724995600836
75,MATA GRANDE,2705002,27,-37.7252240648916,-9.11480625764182
76,MATRIZ DE CAMARAGIBE,2705101,27,-35.533554829803,-9.15852582474625
77,MESSIAS,2705200,27,-35.840378300501,-9.39181222510958
78,MINADOR DO NEGRAO,2705309,27,-36.864915772472,-9.30368326063751
79,MONTEIROPOLIS,2705408,27,-37.2452720989471,-9.60232753886744
80,MURICI,2705507,27,-35.947555585677,-9.31630114434686
81,NOVO LINO,2705606,27,-35.6609637180966,-8.94315880807644
82,OLHO D'AGUA DAS FLORES,2705705,27,-37.2978907897967,-9.53360127527465
83,OLHO D'AGUA DO CASADO,2705804,27,-37.8362428164813,-9.50144626528801
84,OLHO D'AGUA GRANDE,2705903,27,-36.8067459676714,-10.0584949600009
85,OLIVENCA,2706000,27,-37.1908187180627,-9.51945648335504
86,OURO BRANCO,2706109,27,-37.3544437290231,-9.163415364026
87,PALESTINA,2706208,27,-37.3311364505041,-9.67309718564914
88,PALMEIRA DOS INDIOS,2706307,27,-36.6309840973114,-9.4061587984201
89,PAO DE ACUCAR,2706406,27,-37.435138856573,-9.74704185025694
90,PARICONHA,2706422,27,-38.0098260716315,-9.25788438518493
91,PARIPUEIRA,2706448,27,-35.5591051843043,-9.46631347833536
92,PASSO DE CAMARAGIBE,2706505,27,-35.4912752632186,-9.24484665799731
93,PAULO JACINTO,2706604,27,-36.3727420945597,-9.3733643824119
94,PENEDO,2706703,27,-36.5804602140903,-10.2961102979024
95,PIACABUCU,2706802,27,-36.4343520081112,-10.4073624263407
96,PILAR,2706901,27,-35.9485175199678,-9.60689429266684
97,PINDOBA,2707008,27,-36.2865406443458,-9.47621079980144
98,PIRANHAS,2707107,27,-37.7503929130592,-9.62355920030328
99,POCO DAS TRINCHEIRAS,2707206,27,-37.2792980528473,-9.30291365540457
100,PORTO CALVO,2707305,27,-35.3983344556037,-9.05244831413658
101,PORTO DE PEDRAS,2707404,27,-35.2970152177328,-9.15608616311578
102,PORTO REAL DO COLEGIO,2707503,27,-36.8246292915239,-10.1737325641911
103,QUEBRANGULO,2707602,27,-36.4772220766618,-9.32354705536581
104,RIO LARGO,2707701,27,-35.8524223085924,-9.48615760833584
105,ROTEIRO,2707800,27,-35.9812102213933,-9.83218949018835
106,SANTA LUZIA DO NORTE,2707909,27,-35.8234877698639,-9.59676774166949
107,SANTANA DO IPANEMA,2708006,27,-37.2454070203705,-9.3722843627404
108,SANTANA DO MUNDAU,2708105,27,-36.2252341170425,-9.16503322076224
109,SAO BRAS,2708204,27,-36.8989486552451,-10.1203099965729
110,SAO JOSE DA LAJE,2708303,27,-36.0573877321467,-9.01106588188022
111,SAO JOSE DA TAPERA,2708402,27,-37.3837077656992,-9.54939574043675
112,SAO LUIS DO QUITUNDE,2708501,27,-35.5654908365835,-9.31411736924134
113,SAO MIGUEL DOS CAMPOS,2708600,27,-36.0942642743776,-9.77993457613103
114,SAO MIGUEL DOS MILAGRES,2708709,27,-35.3691193336324,-9.26718629500207
115,SAO SEBASTIAO,2708808,27,-36.5510919020052,-9.93165738892367
116,SATUBA,2708907,27,-35.8285402270771,-9.56942786775773
117,SENADOR RUI PALMEIRA,2708956,27,-37.4536462478126,-9.46339144898312
118,TANQUE D'ARCA,2709004,27,-36.4367415959431,-9.53196244231297
119,TAQUARANA,2709103,27,-36.4967676919618,-9.64232010538379
120,TEOTONIO VILELA,2709152,27,-36.3555631422205,-9.90749788301098
121,TRAIPU,2709202,27,-37.0060056722452,-9.97105938200651
122,UNIAO DOS PALMARES,2709301,27,-36.0331428428074,-9.159524116522
123,VICOSA,2709400,27,-36.2483932029197,-9.37705435448976
124,ALVARAES,1300029,13,-64.8135346775686,-3.21658376906639
125,AMATURA,1300060,13,-68.2096146409404,-3.36680518750561
126,ANAMA,1300086,13,-61.4059034797501,-3.57637042689027
127,ANORI,1300102,13,-61.6589553828779,-3.74538558611889
128,APUI,1300144,13,-59.8856661047188,-7.1978701516076
129,ATALAIA DO NORTE,1300201,13,-70.1879892845226,-4.36615748971603
130,AUTAZES,1300300,13,-59.1335670918168,-3.57866364177127
131,BARCELOS,1300409,13,-62.9256696581026,-0.972801052532191
132,BARREIRINHA,1300508,13,-57.0677504898938,-2.7981498369298
133,BENJAMIN CONSTANT,1300607,13,-70.0273484332765,-4.37498901860391
134,BERURI,1300631,13,-61.3715708916659,-3.89451340981806
135,BOA VISTA DO RAMOS,1300680,13,-57.5877073464737,-2.97172653158936
136,BOCA DO ACRE,1300706,13,-67.3995777566805,-8.75124319609379
137,BORBA,1300805,13,-59.5945590194969,-4.39061989147273
138,CAAPIRANGA,1300839,13,-61.2113341331817,-3.3300933919416
139,CANUTAMA,1300904,13,-64.3942308189288,-6.52910607582614
140,CARAUARI,1301001,13,-66.8966352816837,-4.88166590420413
141,CAREIRO,1301100,13,-60.3638098437089,-3.82244727004599
142,CAREIRO DA VARZEA,1301159,13,-59.8263140608339,-3.1973965948696
