,sigla_uf,cod_uf,tipo_preco,preco
0,AC,11,CUB R1,2177.87
1,AC,11,CUB R1,2216.6
2,AC,12,CUB R1,2177.87
3,AC,12,CUB R1,2216.6
4,AC,13,CUB R1,2177.87
5,AC,13,CUB R1,2216.6
6,AC,14,CUB R1,2177.87
7,AC,14,CUB R1,2216.6
8,AC,15,CUB R1,2177.87
9,AC,15,CUB R1,2216.6
10,AC,16,CUB R1,2177.87
11,AC,16,CUB R1,2216.6
12,AC,17,CUB R1,2177.87
13,AC,17,CUB R1,2216.6
14,AC,21,CUB R1,2177.87
15,AC,21,CUB R1,2216.6
16,AC,22,CUB R1,2177.87
17,AC,22,CUB R1,2216.6
18,AC,23,CUB R1,2177.87
19,AC,23,CUB R1,2216.6
20,AC,24,CUB R1,2177.87
21,AC,24,CUB R1,2216.6
22,AC,25,CUB R1,2177.87
23,AC,25,CUB R1,2216.6
24,AC,26,CUB R1,2177.87
25,AC,26,CUB R1,2216.6
26,AC,27,CUB R1,2177.87
27,AC,27,CUB R1,2216.6
28,AC,28,CUB R1,2177.87
29,AC,28,CUB R1,2216.6
30,AC,29,CUB R1,2177.87
31,AC,29,CUB R1,2216.6
32,AC,31,CUB R1,2177.87
33,AC,31,CUB R1,2216.6
34,AC,32,CUB R1,2177.87
35,AC,32,CUB R1,2216.6
36,AC,33,CUB R1,2177.87
37,AC,33,CUB R1,2216.6
38,AC,35,CUB R1,2177.87
39,AC,35,CUB R1,2216.6
40,AC,41,CUB R1,2177.87
41,AC,41,CUB R1,2216.6
42,AC,42,CUB R1,2177.87
43,AC,42,CUB R1,2216.6
44,AC,43,CUB R1,2177.87
45,AC,43,CUB R1,2216.6
46,AC,50,CUB R1,2177.87
47,AC,50,CUB R1,2216.6
48,AC,51,CUB R1,2177.87
49,AC,51,CUB R1,2216.6
50,AC,52,CUB R1,2177.87
51,AC,52,CUB R1,2216.6
52,AC,53,CUB R1,2177.87
53,AC,53,CUB R1,2216.6
54,AC,99,CUB R1,2177.87
55,AC,99,CUB R1,2216.6
56,AL,11,CUB R1,2039.46
57,AL,11,CUB R1,1961.89
58,AL,12,CUB R1,1961.89
59,AL,12,CUB R1,2039.46
60,AL,13,CUB R1,2039.46
61,AL,13,CUB R1,1961.89
62,AL,14,CUB R1,2039.46
63,AL,14,CUB R1,1961.89
64,AL,15,CUB R1,2039.46
65,AL,15,CUB R1,1961.89
66,AL,16,CUB R1,2039.46
67,AL,16,CUB R1,1961.89
68,AL,17,CUB R1,2039.46
69,AL,17,CUB R1,1961.89
70,AL,21,CUB R1,2039.46
71,AL,21,CUB R1,1961.89
72,AL,22,CUB R1,2039.46
73,AL,22,CUB R1,1961.89
74,AL,23,CUB R1,2039.46
75,AL,23,CUB R1,1961.89
76,AL,24,CUB R1,2039.46
77,AL,24,CUB R1,1961.89
78,AL,25,CUB R1,2039.46
79,AL,25,CUB R1,1961.89
80,AL,26,CUB R1,2039.46
81,AL,26,CUB R1,1961.89
82,AL,27,CUB R1,2039.46
83,AL,27,CUB R1,1961.89
84,AL,28,CUB R1,2039.46
85,AL,28,CUB R1,1961.89
86,AL,29,CUB R1,2039.46
87,AL,29,CUB R1,1961.89
88,AL,31,CUB R1,2039.46
89,AL,31,CUB R1,1961.89
90,AL,32,CUB R1,2039.46
91,AL,32,CUB R1,1961.89
92,AL,33,CUB R1,2039.46
93,AL,33,CUB R1,1961.89
94,AL,35,CUB R1,2039.46
95,AL,35,CUB R1,1961.89
96,AL,41,CUB R1,2039.46
97,AL,41,CUB R1,1961.89
98,AL,42,CUB R1,2039.46
99,AL,42,CUB R1,1961.89
100,AL,43,CUB R1,2039.46
101,AL,43,CUB R1,1961.89
102,AL,50,CUB R1,2039.46
103,AL,50,CUB R1,1961.89
104,AL,51,CUB R1,2039.46
105,AL,51,CUB R1,1961.89
106,AL,52,CUB R1,2039.46
107,AL,52,CUB R1,1961.89
108,AL,53,CUB R1,2039.46
109,AL,53,CUB R1,1961.89
110,AL,99,CUB R1,2039.46
111,AL,99,CUB R1,1961.89
112,AM,11,CUB R1,2009.97
113,AM,11,CUB R1,2088.22
114,AM,12,CUB R1,2009.97
115,AM,12,CUB R1,2088.22
116,AM,13,CUB R1,2009.97
117,AM,13,CUB R1,2088.22
118,AM,14,CUB R1,2009.97
119,AM,14,CUB R1,2088.22
120,AM,15,CUB R1,2009.97
121,AM,15,CUB R1,2088.22
122,AM,16,CUB R1,2009.97
123,AM,16,CUB R1,2088.22
124,AM,17,CUB R1,2009.97
125,AM,17,CUB R1,2088.22
126,AM,21,CUB R1,2009.97
127,AM,21,CUB R1,2088.22
128,AM,22,CUB R1,2009.97
129,AM,22,CUB R1,2088.22
130,AM,23,CUB R1,2009.97
131,AM,23,CUB R1,2088.22
132,AM,24,CUB R1,2009.97
133,AM,24,CUB R1,2088.22
134,AM,25,CUB R1,2009.97
135,AM,25,CUB R1,2088.22
136,AM,26,CUB R1,2009.97
137,AM,26,CUB R1,2088.22
138,AM,27,CUB R1,2009.97
139,AM,27,CUB R1,2088.22
140,AM,28,CUB R1,2009.97
141,AM,28,CUB R1,2088.22
142,AM,29,CUB R1,2009.97
143,AM,29,CUB R1,2088.22
144,AM,31,CUB R1,2009.97
145,AM,31,CUB R1,2088.22
146,AM,32,CUB R1,2009.97
147,AM,32,CUB R1,2088.22
148,AM,33,CUB R1,2009.97
149,AM,33,CUB R1,2088.22
150,AM,35,CUB R1,2009.97
151,AM,35,CUB R1,2088.22
152,AM,41,CUB R1,2009.97
153,AM,41,CUB R1,2088.22
154,AM,42,CUB R1,2009.97
155,AM,42,CUB R1,2088.22
156,AM,43,CUB R1,2009.97
157,AM,43,CUB R1,2088.22
158,AM,50,CUB R1,2009.97
159,AM,50,CUB R1,2088.22
160,AM,51,CUB R1,2009.97
161,AM,51,CUB R1,2088.22
162,AM,52,CUB R1,2009.97
163,AM,52,CUB R1,2088.22
164,AM,53,CUB R1,2009.97
165,AM,53,CUB R1,2088.22
166,AM,99,CUB R1,2009.97
167,AM,99,CUB R1,2088.22
168,AP,11,CUB R1,1824.43
169,AP,11,CUB R1,1789.5
170,AP,12,CUB R1,1824.43
171,AP,12,CUB R1,1789.5
172,AP,13,CUB R1,1824.43
173,AP,13,CUB R1,1789.5
174,AP,14,CUB R1,1824.43
175,AP,14,CUB R1,1789.5
176,AP,15,CUB R1,1824.43
177,AP,15,CUB R1,1789.5
178,AP,16,CUB R1,1824.43
179,AP,16,CUB R1,1789.5
180,AP,17,CUB R1,1824.43
181,AP,17,CUB R1,1789.5
182,AP,21,CUB R1,1824.43
183,AP,21,CUB R1,1789.5
184,AP,22,CUB R1,1824.43
185,AP,22,CUB R1,1789.5
186,AP,23,CUB R1,1824.43
187,AP,23,CUB R1,1789.5
188,AP,24,CUB R1,1824.43
189,AP,24,CUB R1,1789.5
190,AP,25,CUB R1,1824.43
191,AP,25,CUB R1,1789.5
192,AP,26,CUB R1,1824.43
193,AP,26,CUB R1,1789.5
194,AP,27,CUB R1,1824.43
195,AP,27,CUB R1,1789.5
196,AP,28,CUB R1,1824.43
197,AP,28,CUB R1,1789.5
198,AP,29,CUB R1,1824.43
199,AP,29,CUB R1,1789.5
200,AP,31,CUB R1,1824.43
201,AP,31,CUB R1,1789.5
202,AP,32,CUB R1,1824.43
203,AP,32,CUB R1,1789.5
204,AP,33,CUB R1,1824.43
205,AP,33,CUB R1,1789.5
206,AP,35,CUB R1,1824.43
207,AP,35,CUB R1,1789.5
208,AP,41,CUB R1,1824.43
209,AP,41,CUB R1,1789.5
210,AP,42,CUB R1,1789.5
211,AP,42,CUB R1,1824.43
212,AP,43,CUB R1,1824.43
213,AP,43,CUB R1,1789.5
214,AP,50,CUB R1,1824.43
215,AP,50,CUB R1,1789.5
216,AP,51,CUB R1,1824.43
217,AP,51,CUB R1,1789.5
218,AP,52,CUB R1,1824.43
219,AP,52,CUB R1,1789.5
220,AP,53,CUB R1,1824.43
221,AP,53,CUB R1,1789.5
222,AP,99,CUB R1,1824.43
223,AP,99,CUB R1,1789.5
224,BA,11,CUB R1,2155.41
225,BA,11,CUB R1,2087.21
226,BA,12,CUB R1,2155.41
227,BA,12,CUB R1,2087.21
228,BA,13,CUB R1,2155.41
229,BA,13,CUB R1,2087.21
230,BA,14,CUB R1,2155.41
231,BA,14,CUB R1,2087.21
232,BA,15,CUB R1,2155.41
233,BA,15,CUB R1,2087.21
234,BA,16,CUB R1,2155.41
235,BA,16,CUB R1,2087.21
236,BA,17,CUB R1,2155.41
237,BA,17,CUB R1,2087.21
238,BA,21,CUB R1,2155.41
239,BA,21,CUB R1,2087.21
240,BA,22,CUB R1,2155.41
241,BA,22,CUB R1,2087.21
242,BA,23,CUB R1,2155.41
243,BA,23,CUB R1,2087.21
244,BA,24,CUB R1,2155.41
245,BA,24,CUB R1,2087.21
246,BA,25,CUB R1,2155.41
247,BA,25,CUB R1,2087.21
248,BA,26,CUB R1,2155.41
249,BA,26,CUB R1,2087.21
250,BA,27,CUB R1,2155.41
251,BA,27,CUB R1,2087.21
252,BA,28,CUB R1,2155.41
253,BA,28,CUB R1,2087.21
254,BA,29,CUB R1,2155.41
255,BA,29,CUB R1,2087.21
256,BA,31,CUB R1,2155.41
257,BA,31,CUB R1,2087.21
258,BA,32,CUB R1,2155.41
259,BA,32,CUB R1,2087.21
260,BA,33,CUB R1,2155.41
261,BA,33,CUB R1,2087.21
262,BA,35,CUB R1,2155.41
263,BA,35,CUB R1,2087.21
264,BA,41,CUB R1,2155.41
265,BA,41,CUB R1,2087.21
266,BA,42,CUB R1,2155.41
267,BA,42,CUB R1,2087.21
