,year,education_level_short_id,average_class_duration,median_class_duration,std_class_duration,fstqt_class_duration,thdqt_class_duration,education_level_short_name
0,2007,4,3.723452838241571,3.666,0.4269114717355113,3.5,4.0,Ensino Fundamental - anos finais
1,2007,5,3.781944444444444,3.833,0.3720846213135412,3.5,4.0,Ensino Médio
2,2007,6,3.417853189621055,3.5,0.5641761259042083,3.0,4.0,EJA
3,2007,99,3.4426655332010956,3.333,0.4907045346091086,3.0,4.0,Não classificada
4,2008,4,3.7030857552924292,3.583,0.4174005984728012,3.5,4.0,Ensino Fundamental - anos finais
5,2008,5,3.7800063371356147,3.75,0.3888489144352159,3.5,4.0,Ensino Médio
6,2008,6,3.390129908247515,3.333,0.5541776623497175,3.0,4.0,EJA
7,2008,99,3.5326576576576576,3.5,0.5216878824282457,3.0,4.0,Não classificada
8,2009,4,3.690898670334709,3.5,0.4110790641552231,3.416,4.0,Ensino Fundamental - anos finais
9,2009,5,3.796950092421442,3.833,0.3920403000026852,3.5,4.083,Ensino Médio
10,2009,6,3.3889024140852473,3.333,0.5375520039130385,3.0,4.0,EJA
11,2009,99,3.6496303224657045,3.5,0.5566870211345674,3.0,4.166,Não classificada
12,2010,4,3.7137981263566777,3.583,0.4351568211944598,3.5,4.0,Ensino Fundamental - anos finais
13,2010,5,3.8182922272047835,3.916,0.40996739526943704,3.5,4.166,Ensino Médio
14,2010,6,3.4480257023210075,3.5,0.5508237162833407,3.0,4.0,EJA
15,2010,99,3.6431843350448,3.5,0.5353720393256389,3.0,4.0,Não classificada
16,2011,4,3.7067806822395255,3.666,0.4123850130715278,3.5,4.0,Ensino Fundamental - anos finais
17,2011,5,3.77186334656562,3.666,0.3866902411111524,3.5,4.0,Ensino Médio
18,2011,6,3.4422418519108,3.5,0.5419836831218023,3.0,4.0,EJA
19,2011,99,3.587300099950025,3.5,0.5123077805257699,3.0,4.0,Não classificada
20,2012,4,3.7067427296903146,3.583,0.4350387944745468,3.416,4.0,Ensino Fundamental - anos finais
21,2012,5,3.816570486397362,3.833,0.3946297464632522,3.5,4.166,Ensino Médio
22,2012,6,3.432448189212506,3.5,0.5539585999293096,3.0,4.0,EJA
23,2012,99,3.6183548850574714,3.5,0.5051696235288978,3.333,4.0,Não classificada
24,2013,4,3.7198974131886784,3.666,0.4396736279666343,3.416,4.0,Ensino Fundamental - anos finais
25,2013,5,3.7931649543378994,3.75,0.4097144658920256,3.5,4.083,Ensino Médio
26,2013,6,3.441763239803829,3.5,0.5500402670217197,3.0,4.0,EJA
27,2013,99,3.628699593044765,3.5,0.5190437917903655,3.25,4.0,Não classificada
28,2014,4,3.7270909275010125,3.666,0.45831568531672445,3.333,4.0,Ensino Fundamental - anos finais
29,2014,5,3.8867207298530158,4.0,0.42683757696780866,3.5,4.25,Ensino Médio
30,2014,6,3.4516392419336652,3.5,0.539563662396817,3.0,4.0,EJA
31,2014,99,3.655028882093102,3.5,0.5304227251028777,3.0,4.0,Não classificada
32,2015,4,3.727225240284162,3.666,0.4538694905714451,3.5,4.0,Ensino Fundamental - anos finais
33,2015,5,3.8936024965866975,4.0,0.4448329632430841,3.5,4.25,Ensino Médio
34,2015,6,3.4571407324533947,3.5,0.5321527352924952,3.0,4.0,EJA
35,2015,99,3.5776614310645725,3.5,0.5019843825711611,3.083,4.0,Não classificada
36,2016,4,3.731342640468804,3.666,0.46275007628945336,3.5,4.0,Ensino Fundamental - anos finais
37,2016,5,3.875906234896085,4.0,0.4354140167883936,3.5,4.333,Ensino Médio
38,2016,6,3.4753876710452354,3.5,0.5317798871808552,3.0,4.0,EJA
39,2016,99,3.5521963824289404,3.5,0.462011776915889,3.0,4.0,Não classificada
40,2017,4,3.7326316399907213,3.75,0.48123947899124236,3.333,4.0,Ensino Fundamental - anos finais
41,2017,5,3.845439189189189,4.0,0.44479479658944426,3.5,4.25,Ensino Médio
42,2017,6,3.450488116696256,3.5,0.5273923071722317,3.0,4.0,EJA
43,2017,99,3.6151676337846554,3.5,0.4689316706565984,3.25,4.0,Não classificada
44,2018,4,3.759023354564756,3.833,0.48328920685323784,3.5,4.0,Ensino Fundamental - anos finais
45,2018,5,3.8498603351955305,3.75,0.5040005919411411,3.5,4.166,Ensino Médio
46,2018,6,3.45671210272339,3.5,0.5227001043696525,3.0,4.0,EJA
47,2018,99,3.664251207729469,3.5,0.47025199033212084,3.333,4.0,Não classificada
48,2019,4,3.8016343951696854,4.0,0.4910719574163006,3.5,4.0,Ensino Fundamental - anos finais
49,2019,5,3.9292307692307693,4.0,0.5059454081894846,3.5,4.25,Ensino Médio
50,2019,6,3.469372209290974,3.5,0.5332332449554315,3.0,4.0,EJA
51,2019,99,3.574312714776632,3.5,0.46973038978180454,3.333,4.0,Não classificada
