,total,year,location_id,location_name
0,46031609,2007,1,Urbana
1,6997319,2007,2,Rural
2,46412824,2008,1,Urbana
3,6820044,2008,2,Rural
4,45900077,2009,1,Urbana
5,6680375,2009,2,Rural
6,45111931,2010,1,Urbana
7,6437958,2010,2,Rural
8,44678734,2011,1,Urbana
9,6293885,2011,2,Rural
10,44466221,2012,1,Urbana
11,6078829,2012,2,Rural
12,44071907,2013,1,Urbana
13,5970541,2013,2,Rural
14,43924931,2014,1,Urbana
15,5846440,2014,2,Rural
16,43078040,2015,1,Urbana
17,5718472,2015,2,Rural
18,43236458,2016,1,Urbana
19,5581021,2016,2,Rural
20,43034708,2017,1,Urbana
21,5573385,2017,2,Rural
22,42982279,2018,1,Urbana
23,5473588,2018,2,Rural
24,42545428,2019,1,Urbana
25,5328818,2019,2,Rural
