,total,year,adm_dependency_detailed_id,school_year_id,adm_dependency_detailed_name,school_year_name
0,6273,2007,1,,Federal,Não classificada
1,180,2007,1,11.0,Federal,Creche - Menor de 1 ano
2,243,2007,1,12.0,Federal,Creche - 1 ano
3,343,2007,1,13.0,Federal,Creche - 2 anos
4,334,2007,1,14.0,Federal,Creche - 3 anos
5,425,2007,1,21.0,Federal,Pré-escola - 4 anos
6,638,2007,1,22.0,Federal,Pré-escola - 5 anos
7,1014,2007,1,31.0,Federal,Ens. Fundamental - 1º Ano
8,1499,2007,1,32.0,Federal,Ens. Fundamental - 1ª série/2º ano
9,1526,2007,1,33.0,Federal,Ens. Fundamental - 2ª série/3º ano
10,1769,2007,1,34.0,Federal,Ens. Fundamental - 3ª série/4º ano
11,1793,2007,1,35.0,Federal,Ens. Fundamental - 4ª série/5º Ano
12,3747,2007,1,41.0,Federal,Ens. Fundamental - 5ª série/6º ano
13,4351,2007,1,42.0,Federal,Ens. Fundamental - 6ª série/7º ano
14,4716,2007,1,43.0,Federal,Ens. Fundamental - 7ª série/8º ano
15,4505,2007,1,44.0,Federal,Ens. Fundamental - 8ª serie/9º ano
16,29854,2007,1,51.0,Federal,Ens. Médio - 1ª série
17,20933,2007,1,52.0,Federal,Ens. Médio - 2ª série
18,18309,2007,1,53.0,Federal,Ens. Médio - 3ª série
19,56,2007,1,54.0,Federal,Ens. Médio - 4ª série
20,17,2007,1,62.0,Federal,EJA - anos finais do Ens. Fundamental
21,82570,2007,1,71.0,Federal,Educação Profissional
22,2906589,2007,2,,Estadual,Não classificada
23,1040,2007,2,11.0,Estadual,Creche - Menor de 1 ano
24,2005,2007,2,12.0,Estadual,Creche - 1 ano
25,4171,2007,2,13.0,Estadual,Creche - 2 anos
26,13984,2007,2,14.0,Estadual,Creche - 3 anos
27,50160,2007,2,21.0,Estadual,Pré-escola - 4 anos
28,140036,2007,2,22.0,Estadual,Pré-escola - 5 anos
29,292106,2007,2,31.0,Estadual,Ens. Fundamental - 1º Ano
30,806870,2007,2,32.0,Estadual,Ens. Fundamental - 1ª série/2º ano
31,919744,2007,2,33.0,Estadual,Ens. Fundamental - 2ª série/3º ano
32,871726,2007,2,34.0,Estadual,Ens. Fundamental - 3ª série/4º ano
33,963420,2007,2,35.0,Estadual,Ens. Fundamental - 4ª série/5º Ano
34,2087413,2007,2,41.0,Estadual,Ens. Fundamental - 5ª série/6º ano
35,1930408,2007,2,42.0,Estadual,Ens. Fundamental - 6ª série/7º ano
36,1759487,2007,2,43.0,Estadual,Ens. Fundamental - 7ª série/8º ano
37,1718127,2007,2,44.0,Estadual,Ens. Fundamental - 8ª serie/9º ano
38,3054982,2007,2,51.0,Estadual,Ens. Médio - 1ª série
39,2267101,2007,2,52.0,Estadual,Ens. Médio - 2ª série
40,1878892,2007,2,53.0,Estadual,Ens. Médio - 3ª série
41,39005,2007,2,54.0,Estadual,Ens. Médio - 4ª série
42,3557,2007,2,61.0,Estadual,EJA - anos iniciais do Ens. Fundamental
43,331,2007,2,62.0,Estadual,EJA - anos finais do Ens. Fundamental
44,221,2007,2,63.0,Estadual,EJA - Ensino Médio
45,215925,2007,2,71.0,Estadual,Educação Profissional
46,1934572,2007,3,,Municipal,Não classificada
47,64920,2007,3,11.0,Municipal,Creche - Menor de 1 ano
48,174361,2007,3,12.0,Municipal,Creche - 1 ano
49,354375,2007,3,13.0,Municipal,Creche - 2 anos
50,773345,2007,3,14.0,Municipal,Creche - 3 anos
51,1446639,2007,3,21.0,Municipal,Pré-escola - 4 anos
52,1943080,2007,3,22.0,Municipal,Pré-escola - 5 anos
53,1506554,2007,3,31.0,Municipal,Ens. Fundamental - 1º Ano
