,total,year,school_year_id,location_id,school_year_name,location_name
0,4410278,2007,,1,Não classificada,Urbana
1,574556,2007,,2,Não classificada,Rural
2,96718,2007,11.0,1,Creche - Menor de 1 ano,Urbana
3,3104,2007,11.0,2,Creche - Menor de 1 ano,Rural
4,266859,2007,12.0,1,Creche - 1 ano,Urbana
5,10993,2007,12.0,2,Creche - 1 ano,Rural
6,555729,2007,13.0,1,Creche - 2 anos,Urbana
7,40311,2007,13.0,2,Creche - 2 anos,Rural
8,1034628,2007,14.0,1,Creche - 3 anos,Urbana
9,134778,2007,14.0,2,Creche - 3 anos,Rural
10,1630921,2007,21.0,1,Pré-escola - 4 anos,Urbana
11,290123,2007,21.0,2,Pré-escola - 4 anos,Rural
12,2095595,2007,22.0,1,Pré-escola - 5 anos,Urbana
13,416630,2007,22.0,2,Pré-escola - 5 anos,Rural
14,1696767,2007,31.0,1,Ens. Fundamental - 1º Ano,Urbana
15,373485,2007,31.0,2,Ens. Fundamental - 1º Ano,Rural
16,3153882,2007,32.0,1,Ens. Fundamental - 1ª série/2º ano,Urbana
17,921105,2007,32.0,2,Ens. Fundamental - 1ª série/2º ano,Rural
18,3271356,2007,33.0,1,Ens. Fundamental - 2ª série/3º ano,Urbana
19,864781,2007,33.0,2,Ens. Fundamental - 2ª série/3º ano,Rural
20,3084153,2007,34.0,1,Ens. Fundamental - 3ª série/4º ano,Urbana
21,784858,2007,34.0,2,Ens. Fundamental - 3ª série/4º ano,Rural
22,3130433,2007,35.0,1,Ens. Fundamental - 4ª série/5º Ano,Urbana
23,715675,2007,35.0,2,Ens. Fundamental - 4ª série/5º Ano,Rural
24,3750523,2007,41.0,1,Ens. Fundamental - 5ª série/6º ano,Urbana
25,530054,2007,41.0,2,Ens. Fundamental - 5ª série/6º ano,Rural
26,3342269,2007,42.0,1,Ens. Fundamental - 6ª série/7º ano,Urbana
27,429630,2007,42.0,2,Ens. Fundamental - 6ª série/7º ano,Rural
28,2931502,2007,43.0,1,Ens. Fundamental - 7ª série/8º ano,Urbana
29,348585,2007,43.0,2,Ens. Fundamental - 7ª série/8º ano,Rural
30,2739607,2007,44.0,1,Ens. Fundamental - 8ª serie/9º ano,Urbana
31,277064,2007,44.0,2,Ens. Fundamental - 8ª serie/9º ano,Rural
32,3373430,2007,51.0,1,Ens. Médio - 1ª série,Urbana
33,107862,2007,51.0,2,Ens. Médio - 1ª série,Rural
34,2552218,2007,52.0,1,Ens. Médio - 2ª série,Urbana
35,77350,2007,52.0,2,Ens. Médio - 2ª série,Rural
36,2152113,2007,53.0,1,Ens. Médio - 3ª série,Urbana
37,60155,2007,53.0,2,Ens. Médio - 3ª série,Rural
38,46618,2007,54.0,1,Ens. Médio - 4ª série,Urbana
39,2163,2007,54.0,2,Ens. Médio - 4ª série,Rural
40,45969,2007,61.0,1,EJA - anos iniciais do Ens. Fundamental,Urbana
41,633,2007,61.0,2,EJA - anos iniciais do Ens. Fundamental,Rural
42,1445,2007,62.0,1,EJA - anos finais do Ens. Fundamental,Urbana
43,29,2007,62.0,2,EJA - anos finais do Ens. Fundamental,Rural
44,878,2007,63.0,1,EJA - Ensino Médio,Urbana
45,667718,2007,71.0,1,Educação Profissional,Urbana
46,33395,2007,71.0,2,Educação Profissional,Rural
47,4410795,2008,,1,Não classificada,Urbana
48,535018,2008,,2,Não classificada,Rural
49,103741,2008,11.0,1,Creche - Menor de 1 ano,Urbana
50,2881,2008,11.0,2,Creche - Menor de 1 ano,Rural
51,302258,2008,12.0,1,Creche - 1 ano,Urbana
52,11103,2008,12.0,2,Creche - 1 ano,Rural
53,638826,2008,13.0,1,Creche - 2 anos,Urbana
54,45508,2008,13.0,2,Creche - 2 anos,Rural
55,1139512,2008,14.0,1,Creche - 3 anos,Urbana
56,144913,2008,14.0,2,Creche - 3 anos,Rural
57,1741395,2008,21.0,1,Pré-escola - 4 anos,Urbana
58,297152,2008,21.0,2,Pré-escola - 4 anos,Rural
59,2122177,2008,22.0,1,Pré-escola - 5 anos,Urbana
60,416713,2008,22.0,2,Pré-escola - 5 anos,Rural
61,1780426,2008,31.0,1,Ens. Fundamental - 1º Ano,Urbana
62,409252,2008,31.0,2,Ens. Fundamental - 1º Ano,Rural
63,2970852,2008,32.0,1,Ens. Fundamental - 1ª série/2º ano,Urbana
64,826132,2008,32.0,2,Ens. Fundamental - 1ª série/2º ano,Rural
65,3125144,2008,33.0,1,Ens. Fundamental - 2ª série/3º ano,Urbana
66,795877,2008,33.0,2,Ens. Fundamental - 2ª série/3º ano,Rural
