,total,year,school_year_id,school_year_name
0,4984834,2007,,Não classificada
1,99822,2007,11.0,Creche - Menor de 1 ano
2,277852,2007,12.0,Creche - 1 ano
3,596040,2007,13.0,Creche - 2 anos
4,1169406,2007,14.0,Creche - 3 anos
5,1921044,2007,21.0,Pré-escola - 4 anos
6,2512225,2007,22.0,Pré-escola - 5 anos
7,2070252,2007,31.0,Ens. Fundamental - 1º Ano
8,4074987,2007,32.0,Ens. Fundamental - 1ª série/2º ano
9,4136137,2007,33.0,Ens. Fundamental - 2ª série/3º ano
10,3869011,2007,34.0,Ens. Fundamental - 3ª série/4º ano
11,3846108,2007,35.0,Ens. Fundamental - 4ª série/5º Ano
12,4280577,2007,41.0,Ens. Fundamental - 5ª série/6º ano
13,3771899,2007,42.0,Ens. Fundamental - 6ª série/7º ano
14,3280087,2007,43.0,Ens. Fundamental - 7ª série/8º ano
15,3016671,2007,44.0,Ens. Fundamental - 8ª serie/9º ano
16,3481292,2007,51.0,Ens. Médio - 1ª série
17,2629568,2007,52.0,Ens. Médio - 2ª série
18,2212268,2007,53.0,Ens. Médio - 3ª série
19,48781,2007,54.0,Ens. Médio - 4ª série
20,46602,2007,61.0,EJA - anos iniciais do Ens. Fundamental
21,1474,2007,62.0,EJA - anos finais do Ens. Fundamental
22,878,2007,63.0,EJA - Ensino Médio
23,701113,2007,71.0,Educação Profissional
24,4945813,2008,,Não classificada
25,106622,2008,11.0,Creche - Menor de 1 ano
26,313361,2008,12.0,Creche - 1 ano
27,684334,2008,13.0,Creche - 2 anos
28,1284425,2008,14.0,Creche - 3 anos
29,2038547,2008,21.0,Pré-escola - 4 anos
30,2538890,2008,22.0,Pré-escola - 5 anos
31,2189678,2008,31.0,Ens. Fundamental - 1º Ano
32,3796984,2008,32.0,Ens. Fundamental - 1ª série/2º ano
33,3921021,2008,33.0,Ens. Fundamental - 2ª série/3º ano
34,3895588,2008,34.0,Ens. Fundamental - 3ª série/4º ano
35,3831150,2008,35.0,Ens. Fundamental - 4ª série/5º Ano
36,4234142,2008,41.0,Ens. Fundamental - 5ª série/6º ano
37,3762614,2008,42.0,Ens. Fundamental - 6ª série/7º ano
38,3367398,2008,43.0,Ens. Fundamental - 7ª série/8º ano
39,3110504,2008,44.0,Ens. Fundamental - 8ª serie/9º ano
40,3453799,2008,51.0,Ens. Médio - 1ª série
41,2616168,2008,52.0,Ens. Médio - 2ª série
42,2244639,2008,53.0,Ens. Médio - 3ª série
43,53902,2008,54.0,Ens. Médio - 4ª série
44,39716,2008,61.0,EJA - anos iniciais do Ens. Fundamental
45,2144,2008,62.0,EJA - anos finais do Ens. Fundamental
46,1043,2008,63.0,EJA - Ensino Médio
47,800386,2008,71.0,Educação Profissional
48,109981,2009,11.0,Creche - Menor de 1 ano
49,327916,2009,12.0,Creche - 1 ano
50,734778,2009,13.0,Creche - 2 anos
51,1372459,2009,14.0,Creche - 3 anos
52,2111863,2009,21.0,Pré-escola - 4 anos
53,2555787,2009,22.0,Pré-escola - 5 anos
54,2211491,2009,31.0,Ens. Fundamental - 1º Ano
55,3623403,2009,32.0,Ens. Fundamental - 1ª série/2º ano
56,3722691,2009,33.0,Ens. Fundamental - 2ª série/3º ano
57,3669531,2009,34.0,Ens. Fundamental - 3ª série/4º ano
58,3824425,2009,35.0,Ens. Fundamental - 4ª série/5º Ano
59,4200673,2009,41.0,Ens. Fundamental - 5ª série/6º ano
60,3705051,2009,42.0,Ens. Fundamental - 6ª série/7º ano
61,3355124,2009,43.0,Ens. Fundamental - 7ª série/8º ano
62,3153461,2009,44.0,Ens. Fundamental - 8ª serie/9º ano
63,3489091,2009,51.0,Ens. Médio - 1ª série
64,2574471,2009,52.0,Ens. Médio - 2ª série
65,2219115,2009,53.0,Ens. Médio - 3ª série
66,55723,2009,54.0,Ens. Médio - 4ª série
67,1076774,2009,61.0,EJA - anos iniciais do Ens. Fundamental
68,2057130,2009,62.0,EJA - anos finais do Ens. Fundamental
69,1567284,2009,63.0,EJA - Ensino Médio
70,862230,2009,71.0,Educação Profissional
71,119107,2010,11.0,Creche - Menor de 1 ano
72,360285,2010,12.0,Creche - 1 ano
73,752458,2010,13.0,Creche - 2 anos
