,total,year,education_level_short_id,education_level_short_name
0,953641,2007,1,Creche
1,451322,2007,2,Pré-Escola
2,236774,2007,3,Ensino Fundamental - anos iniciais
3,141049,2007,4,Ensino Fundamental - anos finais
4,19839,2007,5,Ensino Médio
5,25020,2007,6,EJA
6,1068333,2008,1,Creche
7,465905,2008,2,Pré-Escola
8,276956,2008,3,Ensino Fundamental - anos iniciais
9,155434,2008,4,Ensino Fundamental - anos finais
10,30749,2008,5,Ensino Médio
11,29756,2008,6,EJA
12,1145162,2009,1,Creche
13,449133,2009,2,Pré-Escola
14,320804,2009,3,Ensino Fundamental - anos iniciais
15,156435,2009,4,Ensino Fundamental - anos finais
16,46448,2009,5,Ensino Médio
17,1224039,2010,1,Creche
18,448489,2010,2,Pré-Escola
19,328240,2010,3,Ensino Fundamental - anos iniciais
20,143535,2010,4,Ensino Fundamental - anos finais
21,71456,2010,5,Ensino Médio
22,2070,2010,6,EJA
23,1381612,2011,1,Creche
24,422414,2011,2,Pré-Escola
25,337614,2011,3,Ensino Fundamental - anos iniciais
26,153935,2011,4,Ensino Fundamental - anos finais
27,93933,2011,5,Ensino Médio
28,2742,2011,6,EJA
29,1507028,2012,1,Creche
30,451271,2012,2,Pré-Escola
31,320976,2012,3,Ensino Fundamental - anos iniciais
32,162641,2012,4,Ensino Fundamental - anos finais
33,125906,2012,5,Ensino Médio
34,5707,2012,6,EJA
35,1605067,2013,1,Creche
36,497418,2013,2,Pré-Escola
37,433927,2013,3,Ensino Fundamental - anos iniciais
38,241552,2013,4,Ensino Fundamental - anos finais
39,146895,2013,5,Ensino Médio
40,673,2013,6,EJA
41,1689922,2014,1,Creche
42,521393,2014,2,Pré-Escola
43,699501,2014,3,Ensino Fundamental - anos iniciais
44,412373,2014,4,Ensino Fundamental - anos finais
45,173713,2014,5,Ensino Médio
46,6036,2014,6,EJA
47,1763309,2015,1,Creche
48,526923,2015,2,Pré-Escola
49,743567,2015,3,Ensino Fundamental - anos iniciais
50,436374,2015,4,Ensino Fundamental - anos finais
51,199139,2015,5,Ensino Médio
52,7031,2015,6,EJA
53,1864560,2016,1,Creche
54,515985,2016,2,Pré-Escola
55,557405,2016,3,Ensino Fundamental - anos iniciais
56,361912,2016,4,Ensino Fundamental - anos finais
57,235870,2016,5,Ensino Médio
58,6069,2016,6,EJA
59,1958851,2017,1,Creche
60,547812,2017,2,Pré-Escola
61,670601,2017,3,Ensino Fundamental - anos iniciais
62,412616,2017,4,Ensino Fundamental - anos finais
63,262273,2017,5,Ensino Médio
64,7222,2017,6,EJA
65,2022197,2018,1,Creche
66,541336,2018,2,Pré-Escola
67,604740,2018,3,Ensino Fundamental - anos iniciais
68,397364,2018,4,Ensino Fundamental - anos finais
69,291684,2018,5,Ensino Médio
70,6646,2018,6,EJA
71,2108970,2019,1,Creche
72,549607,2019,2,Pré-Escola
73,626819,2019,3,Ensino Fundamental - anos iniciais
74,449584,2019,4,Ensino Fundamental - anos finais
75,329802,2019,5,Ensino Médio
76,5412,2019,6,EJA
