,state_id,year,state_abbreviation,valor,sphere_adm_id,financial_data_id,state_name
0,11,2017,RO,1098710783.0,2.0,1,Rondônia
1,12,2017,AC,914941978.2,2.0,1,Acre
2,13,2017,AM,2504732912.0,2.0,1,Amazonas
3,14,2017,RR,526438570.2,2.0,1,Roraima
4,15,2017,PA,3246532761.0,2.0,1,Pará
5,16,2017,AP,737249645.9,2.0,1,Amapá
6,17,2017,TO,1186290087.0,2.0,1,Tocantins
7,21,2017,MA,2155292974.0,2.0,1,Maranhão
8,22,2017,PI,1577132459.0,2.0,1,Piauí
9,23,2017,CE,2602376271.0,2.0,1,Ceará
10,24,2017,RN,1465307747.0,2.0,1,Rio Grande do Norte
11,25,2017,PB,1673516899.0,2.0,1,Paraíba
12,26,2017,PE,3491262392.0,2.0,1,Pernambuco
13,27,2017,AL,1094492147.0,2.0,1,Alagoas
14,28,2017,SE,1050793365.0,2.0,1,Sergipe
15,29,2017,BA,4931858666.0,2.0,1,Bahia
16,31,2017,MG,10924992632.0,2.0,1,Minas Gerais
17,32,2017,ES,1609528006.0,2.0,1,Espírito Santo
18,33,2017,RJ,6731166677.0,2.0,1,Rio de Janeiro 
19,35,2017,SP,26437503224.0,2.0,1,São Paulo
20,41,2017,PR,6791863508.0,2.0,1,Paraná
21,42,2017,SC,3665296694.0,2.0,1,Santa Catarina
22,43,2017,RS,6584019073.0,2.0,1,Rio Grande do Sul
23,50,2017,MS,1688394343.0,2.0,1,Mato Grosso do Sul
24,51,2017,MT,2375018858.0,2.0,1,Mato Grosso
25,52,2017,GO,3215092299.0,2.0,1,Goiás
26,53,2017,DF,4180302558.0,2.0,1,Distrito Federal
27,11,2017,RO,1118118154.0,2.0,2,Rondônia
28,12,2017,AC,1003222082.0,2.0,2,Acre
29,13,2017,AM,2590746140.0,2.0,2,Amazonas
30,14,2017,RR,532748984.2,2.0,2,Roraima
31,15,2017,PA,3344200560.0,2.0,2,Pará
32,16,2017,AP,738360030.7,2.0,2,Amapá
33,17,2017,TO,1223248865.0,2.0,2,Tocantins
34,21,2017,MA,2263950635.0,2.0,2,Maranhão
35,22,2017,PI,1673395081.0,2.0,2,Piauí
36,23,2017,CE,2777230723.0,2.0,2,Ceará
37,24,2017,RN,1465307747.0,2.0,2,Rio Grande do Norte
38,25,2017,PB,1773242917.0,2.0,2,Paraíba
39,26,2017,PE,3645975082.0,2.0,2,Pernambuco
40,27,2017,AL,1131271286.0,2.0,2,Alagoas
41,28,2017,SE,1090837626.0,2.0,2,Sergipe
42,29,2017,BA,5091797452.0,2.0,2,Bahia
43,31,2017,MG,10966413489.0,2.0,2,Minas Gerais
44,32,2017,ES,1681932138.0,2.0,2,Espírito Santo
45,33,2017,RJ,6866126045.0,2.0,2,Rio de Janeiro 
46,35,2017,SP,26988186675.0,2.0,2,São Paulo
47,41,2017,PR,6926580185.0,2.0,2,Paraná
48,42,2017,SC,3665508787.0,2.0,2,Santa Catarina
49,43,2017,RS,6589162588.0,2.0,2,Rio Grande do Sul
50,50,2017,MS,2439543644.0,2.0,2,Mato Grosso do Sul
51,51,2017,MT,2445825107.0,2.0,2,Mato Grosso
52,52,2017,GO,3343634937.0,2.0,2,Goiás
53,53,2017,DF,4298983973.0,2.0,2,Distrito Federal
54,11,2017,RO,1075089762.0,2.0,3,Rondônia
55,12,2017,AC,973341308.7,2.0,3,Acre
56,13,2017,AM,2062432425.0,2.0,3,Amazonas
57,14,2017,RR,608103812.9,2.0,3,Roraima
58,15,2017,PA,2278225276.0,2.0,3,Pará
59,16,2017,AP,884170159.6,2.0,3,Amapá
60,17,2017,TO,1075001903.0,2.0,3,Tocantins
61,21,2017,MA,2421119518.0,2.0,3,Maranhão
62,22,2017,PI,1387604368.0,2.0,3,Piauí
63,23,2017,CE,2392480856.0,2.0,3,Ceará
64,24,2017,RN,1338199762.0,2.0,3,Rio Grande do Norte
65,25,2017,PB,1515245776.0,2.0,3,Paraíba
66,26,2017,PE,3651191133.0,2.0,3,Pernambuco
67,27,2017,AL,632901615.8,2.0,3,Alagoas
68,28,2017,SE,1007423909.0,2.0,3,Sergipe
69,29,2017,BA,3859444625.0,2.0,3,Bahia
70,31,2017,MG,9058996793.0,2.0,3,Minas Gerais
71,32,2017,ES,1765714987.0,2.0,3,Espírito Santo
72,33,2017,RJ,3873668012.0,2.0,3,Rio de Janeiro 
73,35,2017,SP,25734761580.0,2.0,3,São Paulo
74,41,2017,PR,7846938218.0,2.0,3,Paraná
