,total,year,age_range,education_level_short_id,education_level_short_name,partial,denominator
0,12.81137009416597,2007,1,1,Creche,1597728,12471172
1,83.489957498751,2007,2,2,Pré-Escola,4976641,5960766
2,103.29803100947129,2007,3,3,Ensino Fundamental - anos iniciais,17996083,17421516
3,100.1393664228801,2007,4,4,Ensino Fundamental - anos finais,14350540,14330568
4,81.57505352154834,2007,5,5,Ensino Médio,8372175,10263156
5,14.320614573339677,2008,1,1,Creche,1769868,12358883
6,86.40075679892387,2008,2,2,Pré-Escola,5015087,5804448
7,106.55634498429332,2008,3,3,Ensino Fundamental - anos iniciais,17812436,16716448
8,100.90083421469329,2008,4,4,Ensino Fundamental - anos finais,14476390,14347146
9,80.82565739849889,2008,5,5,Ensino Médio,8368868,10354222
10,15.948927704587545,2009,1,1,Creche,1909938,11975338
11,86.15855509985492,2009,2,2,Pré-Escola,4900441,5687701
12,106.37649320150902,2009,3,3,Ensino Fundamental - anos iniciais,17451886,16405773
13,101.5914432048082,2009,4,4,Ensino Fundamental - anos finais,14416286,14190453
14,81.52963463611498,2009,5,5,Ensino Médio,8338423,10227475
15,19.21431714082914,2011,1,1,Creche,2307177,12007593
16,79.98779565020351,2011,2,2,Pré-Escola,4696625,5871677
17,105.00421624899052,2011,3,3,Ensino Fundamental - anos iniciais,16486880,15701160
18,98.58946953265877,2011,4,4,Ensino Fundamental - anos finais,14003596,14203947
19,78.96599806425041,2011,5,5,Ensino Médio,8401829,10639806
20,21.178077139192975,2012,1,1,Creche,2548221,12032353
21,84.25864850410824,2012,2,2,Pré-Escola,4765943,5656325
22,103.68203229748048,2012,3,3,Ensino Fundamental - anos iniciais,16134889,15561895
23,97.4299408250507,2012,4,4,Ensino Fundamental - anos finais,13691738,14052906
24,79.49146741714418,2012,5,5,Ensino Médio,8377942,10539423
25,23.34322496036399,2013,1,1,Creche,2737245,11726079
26,85.58237383347051,2013,2,2,Pré-Escola,4870332,5690812
27,103.602117000077,2013,3,3,Ensino Fundamental - anos iniciais,15877501,15325460
28,96.4866442040311,2013,4,4,Ensino Fundamental - anos finais,13310101,13794760
29,77.91985004686036,2013,5,5,Ensino Médio,8314048,10670000
30,24.427970468227045,2014,1,1,Creche,2897928,11863155
31,89.49406095820261,2014,2,2,Pré-Escola,4971941,5555610
32,105.10935536490094,2014,3,3,Ensino Fundamental - anos iniciais,15805134,15036848
33,96.44105571953844,2014,4,4,Ensino Fundamental - anos finais,12766378,13237493
34,78.2126536835145,2014,5,5,Ensino Médio,8301380,10613858
35,26.394785157668544,2015,1,1,Creche,3049072,11551797
36,91.6216094997561,2015,2,2,Pré-Escola,4923158,5373359
37,104.99586423351361,2015,3,3,Ensino Fundamental - anos iniciais,15562403,14821920
38,94.65030341523887,2015,4,4,Ensino Fundamental - anos finais,12368807,13067900
39,76.56107608973556,2015,5,5,Ensino Médio,8076150,10548637
