,total,year,state_id,state_name
0,0.402,1991,12,Acre
1,0.37,1991,27,Alagoas
2,0.472,1991,16,Amapá
3,0.43,1991,13,Amazonas
4,0.386,1991,29,Bahia
5,0.405,1991,23,Ceará
6,0.616,1991,53,Distrito Federal
7,0.505,1991,32,Espírito Santo
8,0.487,1991,52,Goiás
9,0.357,1991,21,Maranhão
10,0.449,1991,51,Mato Grosso
11,0.488,1991,50,Mato Grosso do Sul
12,0.478,1991,31,Minas Gerais
13,0.507,1991,41,Paraná
14,0.382,1991,25,Paraíba
15,0.413,1991,15,Pará
16,0.44,1991,26,Pernambuco
17,0.362,1991,22,Piauí
18,0.428,1991,24,Rio Grande do Norte
19,0.542,1991,43,Rio Grande do Sul
20,0.573,1991,33,Rio de Janeiro 
21,0.407,1991,11,Rondônia
22,0.459,1991,14,Roraima
23,0.543,1991,42,Santa Catarina
24,0.408,1991,28,Sergipe
25,0.578,1991,35,São Paulo
26,0.369,1991,17,Tocantins
27,0.517,2000,12,Acre
28,0.471,2000,27,Alagoas
29,0.577,2000,16,Amapá
30,0.515,2000,13,Amazonas
31,0.512,2000,29,Bahia
32,0.541,2000,23,Ceará
33,0.725,2000,53,Distrito Federal
34,0.64,2000,32,Espírito Santo
35,0.615,2000,52,Goiás
36,0.476,2000,21,Maranhão
37,0.601,2000,51,Mato Grosso
38,0.613,2000,50,Mato Grosso do Sul
39,0.624,2000,31,Minas Gerais
40,0.65,2000,41,Paraná
41,0.506,2000,25,Paraíba
42,0.518,2000,15,Pará
43,0.544,2000,26,Pernambuco
44,0.484,2000,22,Piauí
45,0.552,2000,24,Rio Grande do Norte
46,0.664,2000,43,Rio Grande do Sul
47,0.664,2000,33,Rio de Janeiro 
48,0.537,2000,11,Rondônia
49,0.598,2000,14,Roraima
50,0.674,2000,42,Santa Catarina
51,0.518,2000,28,Sergipe
52,0.702,2000,35,São Paulo
53,0.525,2000,17,Tocantins
54,0.663,2010,12,Acre
55,0.631,2010,27,Alagoas
56,0.708,2010,16,Amapá
57,0.674,2010,13,Amazonas
58,0.66,2010,29,Bahia
59,0.682,2010,23,Ceará
60,0.824,2010,53,Distrito Federal
61,0.74,2010,32,Espírito Santo
62,0.735,2010,52,Goiás
63,0.639,2010,21,Maranhão
64,0.725,2010,51,Mato Grosso
65,0.729,2010,50,Mato Grosso do Sul
66,0.731,2010,31,Minas Gerais
67,0.749,2010,41,Paraná
68,0.658,2010,25,Paraíba
69,0.646,2010,15,Pará
70,0.673,2010,26,Pernambuco
71,0.646,2010,22,Piauí
72,0.684,2010,24,Rio Grande do Norte
73,0.746,2010,43,Rio Grande do Sul
74,0.761,2010,33,Rio de Janeiro 
75,0.69,2010,11,Rondônia
76,0.707,2010,14,Roraima
77,0.774,2010,42,Santa Catarina
78,0.665,2010,28,Sergipe
79,0.783,2010,35,São Paulo
80,0.699,2010,17,Tocantins
