,total,year,state_id,state_name
0,0.181,1991,11,Rondônia
1,0.176,1991,12,Acre
2,0.204,1991,13,Amazonas
3,0.24,1991,14,Roraima
4,0.194,1991,15,Pará
5,0.254,1991,16,Amapá
6,0.155,1991,17,Tocantins
7,0.173,1991,21,Maranhão
8,0.164,1991,22,Piauí
9,0.204,1991,23,Ceará
10,0.242,1991,24,Rio Grande do Norte
11,0.191,1991,25,Paraíba
12,0.242,1991,26,Pernambuco
13,0.174,1991,27,Alagoas
14,0.211,1991,28,Sergipe
15,0.182,1991,29,Bahia
16,0.257,1991,31,Minas Gerais
17,0.304,1991,32,Espírito Santo
18,0.392,1991,33,Rio de Janeiro 
19,0.363,1991,35,São Paulo
20,0.298,1991,41,Paraná
21,0.329,1991,42,Santa Catarina
22,0.328,1991,43,Rio Grande do Sul
23,0.259,1991,50,Mato Grosso do Sul
24,0.221,1991,51,Mato Grosso
25,0.273,1991,52,Goiás
26,0.419,1991,53,Distrito Federal
27,0.345,2000,11,Rondônia
28,0.325,2000,12,Acre
29,0.324,2000,13,Amazonas
30,0.457,2000,14,Roraima
31,0.319,2000,15,Pará
32,0.424,2000,16,Amapá
33,0.348,2000,17,Tocantins
34,0.312,2000,21,Maranhão
35,0.301,2000,22,Piauí
36,0.377,2000,23,Ceará
37,0.396,2000,24,Rio Grande do Norte
38,0.331,2000,25,Paraíba
39,0.372,2000,26,Pernambuco
40,0.282,2000,27,Alagoas
41,0.343,2000,28,Sergipe
42,0.332,2000,29,Bahia
43,0.47,2000,31,Minas Gerais
44,0.491,2000,32,Espírito Santo
45,0.53,2000,33,Rio de Janeiro 
46,0.581,2000,35,São Paulo
47,0.522,2000,41,Paraná
48,0.526,2000,42,Santa Catarina
49,0.505,2000,43,Rio Grande do Sul
50,0.445,2000,50,Mato Grosso do Sul
51,0.426,2000,51,Mato Grosso
52,0.439,2000,52,Goiás
53,0.582,2000,53,Distrito Federal
54,0.577,2010,11,Rondônia
55,0.559,2010,12,Acre
56,0.561,2010,13,Amazonas
57,0.628,2010,14,Roraima
58,0.528,2010,15,Pará
59,0.629,2010,16,Amapá
60,0.624,2010,17,Tocantins
61,0.562,2010,21,Maranhão
62,0.547,2010,22,Piauí
63,0.615,2010,23,Ceará
64,0.597,2010,24,Rio Grande do Norte
65,0.555,2010,25,Paraíba
66,0.574,2010,26,Pernambuco
67,0.52,2010,27,Alagoas
68,0.56,2010,28,Sergipe
69,0.555,2010,29,Bahia
70,0.638,2010,31,Minas Gerais
71,0.653,2010,32,Espírito Santo
72,0.675,2010,33,Rio de Janeiro 
73,0.719,2010,35,São Paulo
74,0.668,2010,41,Paraná
75,0.697,2010,42,Santa Catarina
76,0.642,2010,43,Rio Grande do Sul
77,0.629,2010,50,Mato Grosso do Sul
78,0.635,2010,51,Mato Grosso
79,0.646,2010,52,Goiás
80,0.742,2010,53,Distrito Federal
