,total,year,state_id,state_name
0,0.176,1991,12,Acre
1,0.174,1991,27,Alagoas
2,0.254,1991,16,Amapá
3,0.204,1991,13,Amazonas
4,0.182,1991,29,Bahia
5,0.204,1991,23,Ceará
6,0.419,1991,53,Distrito Federal
7,0.304,1991,32,Espírito Santo
8,0.273,1991,52,Goiás
9,0.173,1991,21,Maranhão
10,0.221,1991,51,Mato Grosso
11,0.259,1991,50,Mato Grosso do Sul
12,0.257,1991,31,Minas Gerais
13,0.298,1991,41,Paraná
14,0.191,1991,25,Paraíba
15,0.194,1991,15,Pará
16,0.242,1991,26,Pernambuco
17,0.164,1991,22,Piauí
18,0.242,1991,24,Rio Grande do Norte
19,0.328,1991,43,Rio Grande do Sul
20,0.392,1991,33,Rio de Janeiro 
21,0.181,1991,11,Rondônia
22,0.24,1991,14,Roraima
23,0.329,1991,42,Santa Catarina
24,0.211,1991,28,Sergipe
25,0.363,1991,35,São Paulo
26,0.155,1991,17,Tocantins
27,0.325,2000,12,Acre
28,0.282,2000,27,Alagoas
29,0.424,2000,16,Amapá
30,0.324,2000,13,Amazonas
31,0.332,2000,29,Bahia
32,0.377,2000,23,Ceará
33,0.582,2000,53,Distrito Federal
34,0.491,2000,32,Espírito Santo
35,0.439,2000,52,Goiás
36,0.312,2000,21,Maranhão
37,0.426,2000,51,Mato Grosso
38,0.445,2000,50,Mato Grosso do Sul
39,0.47,2000,31,Minas Gerais
40,0.522,2000,41,Paraná
41,0.331,2000,25,Paraíba
42,0.319,2000,15,Pará
43,0.372,2000,26,Pernambuco
44,0.301,2000,22,Piauí
45,0.396,2000,24,Rio Grande do Norte
46,0.505,2000,43,Rio Grande do Sul
47,0.53,2000,33,Rio de Janeiro 
48,0.345,2000,11,Rondônia
49,0.457,2000,14,Roraima
50,0.526,2000,42,Santa Catarina
51,0.343,2000,28,Sergipe
52,0.581,2000,35,São Paulo
53,0.348,2000,17,Tocantins
54,0.559,2010,12,Acre
55,0.52,2010,27,Alagoas
56,0.629,2010,16,Amapá
57,0.561,2010,13,Amazonas
58,0.555,2010,29,Bahia
59,0.615,2010,23,Ceará
60,0.742,2010,53,Distrito Federal
61,0.653,2010,32,Espírito Santo
62,0.646,2010,52,Goiás
63,0.562,2010,21,Maranhão
64,0.635,2010,51,Mato Grosso
65,0.629,2010,50,Mato Grosso do Sul
66,0.638,2010,31,Minas Gerais
67,0.668,2010,41,Paraná
68,0.555,2010,25,Paraíba
69,0.528,2010,15,Pará
70,0.574,2010,26,Pernambuco
71,0.547,2010,22,Piauí
72,0.597,2010,24,Rio Grande do Norte
73,0.642,2010,43,Rio Grande do Sul
74,0.675,2010,33,Rio de Janeiro 
75,0.577,2010,11,Rondônia
76,0.628,2010,14,Roraima
77,0.697,2010,42,Santa Catarina
78,0.56,2010,28,Sergipe
79,0.719,2010,35,São Paulo
80,0.624,2010,17,Tocantins
