,total,name,year,percentage,partial
0,192678,Brasil,2013,28.1957462709806,54327
1,190553,Brasil,2014,28.820852991031366,54919
2,96956,Brasil,2013,48.45703205577788,46982
3,98134,Brasil,2014,48.3573481158416,47455
4,93602,Brasil,2015,50.11538214995406,46909
5,94731,Brasil,2016,49.924523123370385,47294
6,99003,Brasil,2017,48.26217387351898,47781
7,95590,Brasil,2018,47.77905638665133,45672
8,61192,Brasil,2013,7.254216237416655,4439
9,58554,Brasil,2014,7.615192813471326,4459
10,56239,Brasil,2015,8.150927292448301,4584
11,55147,Brasil,2016,8.84182276461095,4876
12,53411,Brasil,2017,9.27711520098856,4955
13,50542,Brasil,2018,9.801749040402042,4954
14,48806,Brasil,2013,73.09552104249477,35675
15,47989,Brasil,2014,72.83544145533352,34953
16,119175,Brasil,2015,54.48542059995805,64933
17,118695,Brasil,2016,52.64248704663213,62484
18,119241,Brasil,2017,50.18491961657484,59841
19,114024,Brasil,2018,47.49701817161299,54158
20,48806,Brasil,2013,28.248575994754745,13787
21,47989,Brasil,2014,28.789931025860092,13816
22,119175,Brasil,2015,14.086847073631215,16788
23,118695,Brasil,2016,14.650996250895151,17390
24,119241,Brasil,2017,13.64882884242836,16275
25,114024,Brasil,2018,13.715533571879604,15639
26,95354,Brasil,2013,39.02196027434612,37209
27,95258,Brasil,2014,39.54733460706713,37672
28,127233,Brasil,2015,32.859399684044234,41808
29,127046,Brasil,2016,33.88772570564992,43053
30,128468,Brasil,2017,35.119251486751565,45117
31,122636,Brasil,2018,34.8959522489318,42795
32,43284,Brasil,2013,32.78809721837169,14192
33,45579,Brasil,2014,32.72998530024792,14918
34,46094,Brasil,2015,31.21230528919165,14387
35,47650,Brasil,2016,31.578174186778597,15047
36,51738,Brasil,2017,32.02481734895048,16569
37,51220,Brasil,2018,30.833658727059742,15793
38,65855,Brasil,2015,62.85627514995065,41394
39,66502,Brasil,2016,63.392078433731314,42157
40,68881,Brasil,2017,64.35736995688217,44330
41,66478,Brasil,2018,63.70227744516983,42348
42,34794,Brasil,2013,49.73271253664425,17304
43,34389,Brasil,2014,51.295472389426855,17640
44,65855,Brasil,2015,43.99514083972363,28973
45,66502,Brasil,2016,45.91440858921536,30534
46,68881,Brasil,2017,47.162497640858874,32486
47,66478,Brasil,2018,47.57062486837751,31624
48,17490,Brasil,2013,41.22355631789594,7210
49,16749,Brasil,2014,42.044301152307604,7042
50,36882,Brasil,2015,33.6776747464888,12421
51,35968,Brasil,2016,32.314835409252666,11623
52,36395,Brasil,2017,32.5429317213903,11844
53,34854,Brasil,2018,30.768347965800196,10724
54,96956,Brasil,2013,88.12038450431123,85438
55,98134,Brasil,2014,87.22664927548045,85599
56,93602,Brasil,2015,87.61671759150445,82011
57,94731,Brasil,2016,87.34944210448533,82747
58,99003,Brasil,2017,87.30139490722505,86431
59,95590,Brasil,2018,87.11789936185794,83276
60,158148,Brasil,2013,53.27730986164858,84257
61,156688,Brasil,2014,57.63172674359236,90302
62,149841,Brasil,2015,60.422714744295625,90538
63,149878,Brasil,2016,62.672306809538426,93932
64,152414,Brasil,2017,65.12131431495794,99254
65,146132,Brasil,2018,67.1406673418553,98114
66,158148,Brasil,2013,54.55585906872044,86279
67,156688,Brasil,2014,55.747089757990395,87349
68,149841,Brasil,2015,56.39444477813148,84502
69,149878,Brasil,2016,57.64288287807416,86394
70,152414,Brasil,2017,59.28523626438517,90359
71,146132,Brasil,2018,60.270166698601265,88074
72,158148,Brasil,2013,92.89526266535144,146912
73,156688,Brasil,2014,92.98989073828244,145704
74,149841,Brasil,2015,93.64259448348584,140315
75,149878,Brasil,2016,93.55609228839457,140220
76,152414,Brasil,2017,93.5078142427861,142519
77,146132,Brasil,2018,93.57772424930884,136747
78,158148,Brasil,2013,48.56590029592533,76806
79,156688,Brasil,2014,52.51582763198203,82286
80,149841,Brasil,2015,56.25362884657738,84291
81,149878,Brasil,2016,58.12260638652771,87113
82,152414,Brasil,2017,57.993360190008794,88390
83,146132,Brasil,2018,59.68028905373224,87212
84,158148,Brasil,2013,33.60839213900903,53151
85,156688,Brasil,2014,36.62501276421934,57387
86,149841,Brasil,2015,38.4721137739337,57647
87,149878,Brasil,2016,40.67241356303127,60959
88,152414,Brasil,2017,42.776910257587886,65198
89,146132,Brasil,2018,44.11833137163661,64471
90,61192,Brasil,2013,14.171787161720486,8672
91,58554,Brasil,2014,16.909177852922088,9901
92,56239,Brasil,2015,24.902647628869644,14005
93,55147,Brasil,2016,30.966326364081453,17077
94,53411,Brasil,2017,33.208515099885794,17737
95,50542,Brasil,2018,35.36860432907285,17876
96,96956,Brasil,2013,73.77985890507034,71534
97,98134,Brasil,2014,75.11362015203702,73712
98,93602,Brasil,2015,75.68534860366232,70843
99,94731,Brasil,2016,75.96035088830479,71958
100,99003,Brasil,2017,73.30585941840147,72575
101,95590,Brasil,2018,79.2122606967256,75719
102,158148,Brasil,2013,87.25307939398537,137989
103,156688,Brasil,2014,87.12154089655877,136509
104,149841,Brasil,2015,88.11673707463244,132035
105,149878,Brasil,2016,88.07029717503569,131998
106,152414,Brasil,2017,83.5198866245883,127296
107,146132,Brasil,2018,90.16916212739167,131766
108,95354,Brasil,2013,37.18879124105963,35461
109,95258,Brasil,2014,37.80364903735119,36011
110,127233,Brasil,2015,31.362146612907026,39903
111,127046,Brasil,2016,33.17853375942572,42152
112,128468,Brasil,2017,34.82735000155681,44742
113,122636,Brasil,2018,37.89507159398545,46473
114,158148,Brasil,2013,96.38187014695096,152426
115,156688,Brasil,2014,96.6379046257531,151420
116,149841,Brasil,2015,96.9774627772105,145312
