,total,year,age_range,education_level_basic_id,education_level_basic_name,partial,denominator
0,22.871822712434394,2013,1,1,Creche,2681968,11726079
1,77.29448802736762,2013,2,2,Pré-Escola,4398684,5690812
2,90.37478809771451,2013,3,4,Ensino Fundamental - anos iniciais,13850352,15325460
3,77.083037327217,2013,4,5,Ensino Fundamental - anos finais,10633420,13794760
4,55.21532333645736,2013,5,6,Ensino Médio,5891475,10670000
5,23.993600353362996,2014,1,1,Creche,2846398,11863155
6,80.28056325048014,2014,2,2,Pré-Escola,4460075,5555610
7,92.00915644023269,2014,3,4,Ensino Fundamental - anos iniciais,13835277,15036848
8,78.41711417713309,2014,4,5,Ensino Fundamental - anos finais,10380460,13237493
9,55.88539059030185,2014,5,6,Ensino Médio,5931596,10613858
10,26.047904062026024,2015,1,1,Creche,3009001,11551797
11,82.36036341513754,2015,2,2,Pré-Escola,4425518,5373359
12,92.71622030074377,2015,3,4,Ensino Fundamental - anos iniciais,13742324,14821920
13,77.52177473044635,2015,4,5,Ensino Fundamental - anos finais,10130468,13067900
14,56.17302026792655,2015,5,6,Ensino Médio,5925488,10548637
