,total,year,age_range,education_level_short_id,education_level_short_name,partial,denominator
0,11.640958844926523,2007,1,1,Creche,1451764,12471172
1,63.71234837938614,2007,2,2,Pré-Escola,3797744,5960766
2,85.07896786938633,2007,3,3,Ensino Fundamental - anos iniciais,14822046,17421516
3,72.56484879036196,2007,4,4,Ensino Fundamental - anos finais,10398955,14330568
4,48.460600228623626,2007,5,5,Ensino Médio,4973587,10263156
5,13.117067294835625,2008,1,1,Creche,1621123,12358883
6,66.31721052544532,2008,2,2,Pré-Escola,3849348,5804448
7,91.45573270110971,2008,3,3,Ensino Fundamental - anos iniciais,15288150,16716448
8,77.42861890441486,2008,4,4,Ensino Fundamental - anos finais,11108797,14347146
9,53.093037796562605,2008,5,5,Ensino Médio,5497371,10354222
10,14.874193947594632,2009,1,1,Creche,1781235,11975338
11,67.92616208200818,2009,2,2,Pré-Escola,3863437,5687701
12,89.92090771949606,2009,3,3,Ensino Fundamental - anos iniciais,14752220,16405773
13,77.83334330482614,2009,4,4,Ensino Fundamental - anos finais,11044904,14190453
14,52.887618889315306,2009,5,5,Ensino Médio,5409068,10227475
15,18.269714837936295,2011,1,1,Creche,2193753,12007593
16,70.05441545916099,2011,2,2,Pré-Escola,4113369,5871677
17,89.25684471720561,2011,3,3,Ensino Fundamental - anos iniciais,14014360,15701160
18,76.49071064542834,2011,4,4,Ensino Fundamental - anos finais,10864700,14203947
19,53.13892941281072,2011,5,5,Ensino Médio,5653879,10639806
20,20.544028254490208,2012,1,1,Creche,2471930,12032353
21,75.55515285985159,2012,2,2,Pré-Escola,4273645,5656325
22,89.57365410832035,2012,3,3,Ensino Fundamental - anos iniciais,13939358,15561895
23,76.91574966771996,2012,4,4,Ensino Fundamental - anos finais,10808898,14052906
24,54.82444342541333,2012,5,5,Ensino Médio,5778180,10539423
25,22.871822712434394,2013,1,1,Creche,2681968,11726079
26,77.29448802736762,2013,2,2,Pré-Escola,4398684,5690812
27,90.37478809771451,2013,3,3,Ensino Fundamental - anos iniciais,13850352,15325460
28,77.083037327217,2013,4,4,Ensino Fundamental - anos finais,10633420,13794760
29,55.21532333645736,2013,5,5,Ensino Médio,5891475,10670000
30,23.993600353362996,2014,1,1,Creche,2846398,11863155
31,80.28056325048014,2014,2,2,Pré-Escola,4460075,5555610
32,92.00915644023269,2014,3,3,Ensino Fundamental - anos iniciais,13835277,15036848
33,78.41711417713309,2014,4,4,Ensino Fundamental - anos finais,10380460,13237493
34,55.88539059030185,2014,5,5,Ensino Médio,5931596,10613858
35,26.047904062026024,2015,1,1,Creche,3009001,11551797
36,82.36036341513754,2015,2,2,Pré-Escola,4425518,5373359
37,92.71622030074377,2015,3,3,Ensino Fundamental - anos iniciais,13742324,14821920
38,77.52177473044635,2015,4,4,Ensino Fundamental - anos finais,10130468,13067900
39,56.17302026792655,2015,5,5,Ensino Médio,5925488,10548637
