,total,year,age_range,education_level_basic_id,education_level_basic_name,partial,denominator
0,11.640958844926523,2007,1,1,Creche,1451764,12471172
1,63.71234837938614,2007,2,2,Pré-Escola,3797744,5960766
2,85.07896786938633,2007,3,4,Ensino Fundamental - anos iniciais,14822046,17421516
3,72.56484879036196,2007,4,5,Ensino Fundamental - anos finais,10398955,14330568
4,13.117067294835625,2008,1,1,Creche,1621123,12358883
5,66.31721052544532,2008,2,2,Pré-Escola,3849348,5804448
6,91.45573270110971,2008,3,4,Ensino Fundamental - anos iniciais,15288150,16716448
7,77.42861890441486,2008,4,5,Ensino Fundamental - anos finais,11108797,14347146
8,14.874193947594632,2009,1,1,Creche,1781235,11975338
9,67.92616208200818,2009,2,2,Pré-Escola,3863437,5687701
10,89.92090771949606,2009,3,4,Ensino Fundamental - anos iniciais,14752220,16405773
11,77.83334330482614,2009,4,5,Ensino Fundamental - anos finais,11044904,14190453
12,18.269714837936295,2011,1,1,Creche,2193753,12007593
13,70.05441545916099,2011,2,2,Pré-Escola,4113369,5871677
14,89.25684471720561,2011,3,4,Ensino Fundamental - anos iniciais,14014360,15701160
15,76.49071064542834,2011,4,5,Ensino Fundamental - anos finais,10864700,14203947
16,20.544028254490208,2012,1,1,Creche,2471930,12032353
17,75.55515285985159,2012,2,2,Pré-Escola,4273645,5656325
18,89.57365410832035,2012,3,4,Ensino Fundamental - anos iniciais,13939358,15561895
19,76.91574966771996,2012,4,5,Ensino Fundamental - anos finais,10808898,14052906
20,22.871822712434394,2013,1,1,Creche,2681968,11726079
21,77.29448802736762,2013,2,2,Pré-Escola,4398684,5690812
22,90.37478809771451,2013,3,4,Ensino Fundamental - anos iniciais,13850352,15325460
23,77.083037327217,2013,4,5,Ensino Fundamental - anos finais,10633420,13794760
24,23.993600353362996,2014,1,1,Creche,2846398,11863155
25,80.28056325048014,2014,2,2,Pré-Escola,4460075,5555610
26,92.00915644023269,2014,3,4,Ensino Fundamental - anos iniciais,13835277,15036848
27,78.41711417713309,2014,4,5,Ensino Fundamental - anos finais,10380460,13237493
28,26.047904062026024,2015,1,1,Creche,3009001,11551797
29,82.36036341513754,2015,2,2,Pré-Escola,4425518,5373359
30,92.71622030074377,2015,3,4,Ensino Fundamental - anos iniciais,13742324,14821920
31,77.52177473044635,2015,4,5,Ensino Fundamental - anos finais,10130468,13067900
