,state_name,state_id,total,year
0,Rondônia,11,1560501,2010
1,Acre,12,732793,2010
2,Amazonas,13,3480937,2010
3,Roraima,14,451227,2010
4,Pará,15,7603239,2010
5,Amapá,16,668689,2010
6,Tocantins,17,1383453,2010
7,Maranhão,21,6569683,2010
8,Piauí,22,3119015,2010
9,Ceará,23,8448055,2010
10,Rio Grande do Norte,24,3168133,2010
11,Paraíba,25,3766834,2010
12,Pernambuco,26,8796032,2010
13,Alagoas,27,3120922,2010
14,Sergipe,28,2068031,2010
15,Bahia,29,14021432,2010
16,Minas Gerais,31,19595309,2010
17,Espírito Santo,32,3512672,2010
18,Rio de Janeiro ,33,15993583,2010
19,São Paulo,35,41252160,2010
20,Paraná,41,10439601,2010
21,Santa Catarina,42,6249682,2010
22,Rio Grande do Sul,43,10695532,2010
23,Mato Grosso do Sul,50,2449341,2010
24,Mato Grosso,51,3033991,2010
25,Goiás,52,6004045,2010
26,Distrito Federal,53,2562963,2010
27,Rondônia,11,1576455,2011
28,Acre,12,746386,2011
29,Amazonas,13,3538387,2011
30,Roraima,14,460165,2011
31,Pará,15,7688593,2011
32,Amapá,16,684309,2011
33,Tocantins,17,1400892,2011
34,Maranhão,21,6645761,2011
35,Piauí,22,3140328,2011
36,Ceará,23,8530155,2011
37,Rio Grande do Norte,24,3198657,2011
38,Paraíba,25,3791315,2011
39,Pernambuco,26,8864906,2011
40,Alagoas,27,3143384,2011
41,Sergipe,28,2089819,2011
42,Bahia,29,14097534,2011
43,Minas Gerais,31,19728701,2011
44,Espírito Santo,32,3547055,2011
45,Rio de Janeiro ,33,16112678,2011
46,São Paulo,35,41587182,2011
47,Paraná,41,10512349,2011
48,Santa Catarina,42,6317054,2011
49,Rio Grande do Sul,43,10733030,2011
50,Mato Grosso do Sul,50,2477542,2011
51,Mato Grosso,51,3075936,2011
52,Goiás,52,6080716,2011
53,Distrito Federal,53,2609998,2011
54,Rondônia,11,1590011,2012
55,Acre,12,758786,2012
56,Amazonas,13,3590985,2012
57,Roraima,14,469524,2012
58,Pará,15,7822205,2012
59,Amapá,16,698602,2012
60,Tocantins,17,1417694,2012
61,Maranhão,21,6714314,2012
62,Piauí,22,3160748,2012
63,Ceará,23,8606005,2012
64,Rio Grande do Norte,24,3228198,2012
65,Paraíba,25,3815171,2012
66,Pernambuco,26,8931028,2012
67,Alagoas,27,3165472,2012
68,Sergipe,28,2110867,2012
69,Bahia,29,14175341,2012
70,Minas Gerais,31,19855332,2012
71,Espírito Santo,32,3578067,2012
72,Rio de Janeiro ,33,16231365,2012
73,São Paulo,35,41901219,2012
74,Paraná,41,10577755,2012
75,Santa Catarina,42,6383286,2012
76,Rio Grande do Sul,43,10770603,2012
77,Mato Grosso do Sul,50,2505088,2012
78,Mato Grosso,51,3115336,2012
79,Goiás,52,6154996,2012
80,Distrito Federal,53,2648532,2012
81,Rondônia,11,1728214,2013
82,Acre,12,776463,2013
83,Amazonas,13,3807921,2013
84,Roraima,14,488072,2013
85,Pará,15,7999729,2013
86,Amapá,16,734996,2013
87,Tocantins,17,1478164,2013
88,Maranhão,21,6794301,2013
89,Piauí,22,3184166,2013
90,Ceará,23,8778576,2013
91,Rio Grande do Norte,24,3373959,2013
92,Paraíba,25,3914421,2013
93,Pernambuco,26,9208550,2013
94,Alagoas,27,3300935,2013
95,Sergipe,28,2195662,2013
96,Bahia,29,15044137,2013
97,Minas Gerais,31,20593356,2013
98,Espírito Santo,32,3839366,2013
99,Rio de Janeiro ,33,16369179,2013
100,São Paulo,35,43663669,2013
101,Paraná,41,10997465,2013
102,Santa Catarina,42,6634254,2013
103,Rio Grande do Sul,43,11164043,2013
104,Mato Grosso do Sul,50,2587269,2013
105,Mato Grosso,51,3182113,2013
106,Goiás,52,6434048,2013
107,Distrito Federal,53,2789761,2013
108,Rondônia,11,1748531,2014
109,Acre,12,790101,2014
110,Amazonas,13,3873743,2014
111,Roraima,14,496936,2014
112,Pará,15,8104880,2014
113,Amapá,16,750912,2014
114,Tocantins,17,1496880,2014
115,Maranhão,21,6850884,2014
116,Piauí,22,3194718,2014
117,Ceará,23,8842791,2014
118,Rio Grande do Norte,24,3408510,2014
119,Paraíba,25,3943885,2014
120,Pernambuco,26,9277727,2014
121,Alagoas,27,3321730,2014
122,Sergipe,28,2219574,2014
123,Bahia,29,15126371,2014
124,Minas Gerais,31,20734097,2014
125,Espírito Santo,32,3885049,2014
126,Rio de Janeiro ,33,16461173,2014
127,São Paulo,35,44035304,2014
128,Paraná,41,11081692,2014
129,Santa Catarina,42,6727148,2014
130,Rio Grande do Sul,43,11207274,2014
131,Mato Grosso do Sul,50,2619657,2014
132,Mato Grosso,51,3224357,2014
133,Goiás,52,6523222,2014
134,Distrito Federal,53,2852372,2014
135,Rondônia,11,1805788,2017
136,Acre,12,829619,2017
137,Amazonas,13,4063614,2017
138,Roraima,14,522636,2017
139,Pará,15,8366628,2017
140,Amapá,16,797722,2017
141,Tocantins,17,1550194,2017
142,Maranhão,21,7000229,2017
143,Piauí,22,3219257,2017
144,Ceará,23,9020460,2017
145,Rio Grande do Norte,24,3507003,2017
146,Paraíba,25,4025558,2017
147,Pernambuco,26,9473266,2017
148,Alagoas,27,3375823,2017
149,Sergipe,28,2288116,2017
150,Bahia,29,15344446,2017
151,Minas Gerais,31,21119536,2017
152,Espírito Santo,32,4016356,2017
153,Rio de Janeiro ,33,16718956,2017
154,São Paulo,35,45094867,2017
155,Paraná,41,11320892,2017
156,Santa Catarina,42,7001161,2017
157,Rio Grande do Sul,43,11322895,2017
158,Mato Grosso do Sul,50,2713147,2017
159,Mato Grosso,51,3344544,2017
160,Goiás,52,6778772,2017
161,Distrito Federal,53,3039444,2017
