,state_name,state_id,total,year
0,Acre,12,816687,2016
1,Alagoas,27,3358963,2016
2,Amapá,16,782295,2016
3,Amazonas,13,4001667,2016
4,Bahia,29,15276566,2016
5,Ceará,23,8963663,2016
6,Distrito Federal,53,2977216,2016
7,Espírito Santo,32,3973697,2016
8,Goiás,52,6695855,2016
9,Maranhão,21,6954036,2016
10,Mato Grosso,51,3305531,2016
11,Mato Grosso do Sul,50,2682386,2016
12,Minas Gerais,31,20997560,2016
13,Paraná,41,11242720,2016
14,Paraíba,25,3999415,2016
15,Pará,15,8272724,2016
16,Pernambuco,26,9410336,2016
17,Piauí,22,3212180,2016
18,Rio Grande do Norte,24,3474998,2016
19,Rio Grande do Sul,43,11286500,2016
20,Rio de Janeiro ,33,16635996,2016
21,Rondônia,11,1787279,2016
22,Roraima,14,514229,2016
23,Santa Catarina,42,6910553,2016
24,Sergipe,28,2265779,2016
25,São Paulo,35,44749699,2016
26,Tocantins,17,1532902,2016
