,age_range_id,total,year,denominator,partial,age_range_name
0,1,17.28965166442044,2004,13352756,2308645,0 a 3 anos
1,1,16.742178111318754,2005,13111699,2195184,0 a 3 anos
2,1,19.597281312317232,2006,12791907,2506866,0 a 3 anos
3,1,21.47263304523424,2007,12471172,2677889,0 a 3 anos
4,1,23.068808079176733,2008,12358883,2851047,0 a 3 anos
5,1,23.152774477012674,2009,11975338,2772623,0 a 3 anos
6,1,25.360703015167154,2011,24015186,6090420,0 a 3 anos
7,1,25.730578216912352,2012,24064706,6191988,0 a 3 anos
8,1,27.901347074328935,2013,23452158,6543468,0 a 3 anos
9,1,29.614078211066115,2014,23726310,7026328,0 a 3 anos
10,1,30.39211128796671,2015,23103594,7021670,0 a 3 anos
11,2,71.8645267552133,2004,6803646,4889408,4 a 5 anos
12,2,72.50196903007564,2005,6749516,4893532,4 a 5 anos
13,2,76.74743757575216,2006,6264673,4807976,4 a 5 anos
14,2,78.87684233871956,2007,5960766,4701664,4 a 5 anos
15,2,81.08114673436647,2008,5804448,4706313,4 a 5 anos
16,2,82.95335848350678,2009,5687701,4718139,4 a 5 anos
17,2,85.60167734022154,2011,11743354,10052508,4 a 5 anos
18,2,85.84713572858702,2012,11312650,9711586,4 a 5 anos
19,2,87.93831179100627,2013,11381624,10008808,4 a 5 anos
20,2,89.12004262358228,2014,11111220,9902324,4 a 5 anos
21,2,90.45369944572845,2015,10746718,9720804,4 a 5 anos
22,3,97.09495692139288,2004,17653542,17140699,6 a 10 anos
23,3,97.50606097732867,2005,17360649,16927685,6 a 10 anos
24,3,97.95653278369979,2006,17458905,17102138,6 a 10 anos
25,3,97.83683578398114,2007,17421516,17044660,6 a 10 anos
26,3,98.27798345677263,2008,16716448,16428588,6 a 10 anos
27,3,98.3601869902747,2009,16405773,16136749,6 a 10 anos
28,3,98.80791610301405,2011,31402320,31027978,6 a 10 anos
29,3,98.82081198979944,2012,31123790,30756782,6 a 10 anos
30,3,99.02184991510859,2013,30650920,30351108,6 a 10 anos
31,3,99.12911269702266,2014,30073696,29811788,6 a 10 anos
32,3,99.17490446581819,2015,29643840,29399250,6 a 10 anos
33,4,95.27112507534464,2004,13708673,13060407,11 a 14 anos
34,4,95.782085605958,2005,13681501,13104427,11 a 14 anos
35,4,96.00827763333969,2006,14076004,13514129,11 a 14 anos
36,4,96.04048492704545,2007,14330568,13763147,11 a 14 anos
37,4,96.42613241685838,2008,14347146,13834398,11 a 14 anos
38,4,96.80399913942142,2009,14190453,13736926,11 a 14 anos
39,4,97.24754675584188,2011,28407894,27625980,11 a 14 anos
40,4,97.40860715925945,2012,28105812,27377480,11 a 14 anos
41,4,97.4371500482792,2013,27589520,26882442,11 a 14 anos
42,4,97.52283910556176,2014,26474986,25819158,11 a 14 anos
43,4,97.64839033050453,2015,26135800,25521188,11 a 14 anos
44,5,76.89324845862606,2004,10864171,8353814,15 a 17 anos
45,5,76.4725191728305,2005,10875546,8316804,15 a 17 anos
46,5,76.38691977900362,2006,10641441,8128669,15 a 17 anos
47,5,76.07883968634988,2007,10263156,7808090,15 a 17 anos
48,5,78.468406414311,2008,10354222,8124793,15 a 17 anos
49,5,79.25119347639568,2009,10227475,8105396,15 a 17 anos
50,5,77.60896204310492,2011,21279612,16514886,15 a 17 anos
51,5,78.2821602283161,2012,21078846,16500976,15 a 17 anos
52,5,78.43407685098407,2013,21340000,16737832,15 a 17 anos
53,5,77.20529142183737,2014,21227716,16388920,15 a 17 anos
54,5,78.73225706790366,2015,21097274,16610360,15 a 17 anos
55,6,29.03506457229939,2004,24071932,6989301,18 a 24 anos
56,6,28.438828148408064,2005,24480745,6962037,18 a 24 anos
57,6,28.58461095937882,2006,24245553,6930497,18 a 24 anos
58,6,27.922274839149896,2007,23894296,6671831,18 a 24 anos
59,6,27.44703694292541,2008,23415850,6426957,18 a 24 anos
60,6,27.4665052233439,2009,23022321,6323427,18 a 24 anos
61,6,25.834688260780283,2011,45511662,11757796,18 a 24 anos
62,6,26.494613288490832,2012,45228522,11983122,18 a 24 anos
63,6,26.944861486730503,2013,45023412,12131496,18 a 24 anos
64,6,27.47544289142635,2014,44749568,12295142,18 a 24 anos
65,6,27.899030635047197,2015,44383284,12382506,18 a 24 anos
