,total,name,year,location_id,location_name
0,74846,Brasil,2007,1,Urbana
1,77015,Brasil,2007,2,Rural
2,75635,Brasil,2008,1,Urbana
3,75785,Brasil,2008,2,Rural
4,76539,Brasil,2009,1,Urbana
5,73535,Brasil,2009,2,Rural
6,77413,Brasil,2010,1,Urbana
7,70680,Brasil,2010,2,Rural
8,81170,Brasil,2015,1,Urbana
9,59328,Brasil,2015,2,Rural
10,82032,Brasil,2016,1,Urbana
11,58013,Brasil,2016,2,Rural
12,82769,Brasil,2017,1,Urbana
13,56008,Brasil,2017,2,Rural
14,82896,Brasil,2018,1,Urbana
15,53217,Brasil,2018,2,Rural
16,83570,Brasil,2019,1,Urbana
17,51807,Brasil,2019,2,Rural
