,total,name,year,education_type_id,education_type_name
0,80667,Brasil,2007,3,Ensino Médio
1,404899,Brasil,2007,4,Ensino Médio na modalidade normal
2,70287,Brasil,2007,5,Superior bacharelado ou tecnólogo
3,715535,Brasil,2007,6,Superior licenciatura ou complementação pedagógica
4,19366,Brasil,2007,7,Especialização com bacharelado ou tecnólogo
5,250931,Brasil,2007,8,Especialização com licenciatura
6,2046,Brasil,2007,9,Mestrado com bacharelado ou tecnólogo
7,10481,Brasil,2007,10,Mestrado com licenciatura
8,490,Brasil,2007,11,Doutorado com bacharelado ou tecnólogo
9,1486,Brasil,2007,12,Doutorado com licenciatura
10,91436,Brasil,2008,3,Ensino Médio
11,418859,Brasil,2008,4,Ensino Médio na modalidade normal
12,23753,Brasil,2008,5,Superior bacharelado ou tecnólogo
13,669131,Brasil,2008,6,Superior licenciatura ou complementação pedagógica
14,9124,Brasil,2008,7,Especialização com bacharelado ou tecnólogo
15,389512,Brasil,2008,8,Especialização com licenciatura
16,2195,Brasil,2008,9,Mestrado com bacharelado ou tecnólogo
17,15778,Brasil,2008,10,Mestrado com licenciatura
18,669,Brasil,2008,11,Doutorado com bacharelado ou tecnólogo
19,2088,Brasil,2008,12,Doutorado com licenciatura
20,89215,Brasil,2009,3,Ensino Médio
21,371694,Brasil,2009,4,Ensino Médio na modalidade normal
22,28146,Brasil,2009,5,Superior bacharelado ou tecnólogo
23,624139,Brasil,2009,6,Superior licenciatura ou complementação pedagógica
24,8935,Brasil,2009,7,Especialização com bacharelado ou tecnólogo
25,326964,Brasil,2009,8,Especialização com licenciatura
26,2002,Brasil,2009,9,Mestrado com bacharelado ou tecnólogo
27,12815,Brasil,2009,10,Mestrado com licenciatura
28,647,Brasil,2009,11,Doutorado com bacharelado ou tecnólogo
29,1738,Brasil,2009,12,Doutorado com licenciatura
30,114801,Brasil,2010,3,Ensino Médio
31,358103,Brasil,2010,4,Ensino Médio na modalidade normal
32,31073,Brasil,2010,5,Superior bacharelado ou tecnólogo
33,704996,Brasil,2010,6,Superior licenciatura ou complementação pedagógica
34,9918,Brasil,2010,7,Especialização com bacharelado ou tecnólogo
35,387749,Brasil,2010,8,Especialização com licenciatura
36,2829,Brasil,2010,9,Mestrado com bacharelado ou tecnólogo
37,15230,Brasil,2010,10,Mestrado com licenciatura
38,898,Brasil,2010,11,Doutorado com bacharelado ou tecnólogo
39,2058,Brasil,2010,12,Doutorado com licenciatura
40,140356,Brasil,2011,3,Ensino Médio
